feature,kruskal_stat,kruskal_pvalue,mutual_info,rank_kruskal,rank_mi,combined_rank,final_rank
alpha_relative,49.5304919025898,1.75626618837868e-11,0.06594912403367248,1.0,1.0,1.0,1
theta_alpha_ratio,44.49676813087444,2.1759532937700213e-10,0.05290319391826026,3.0,2.0,2.5,2
beta_alpha_ratio,45.62348174127419,1.2387589842419896e-10,0.05279449402018921,2.0,3.0,2.5,3
theta_relative,27.837511008161982,9.019060280435444e-07,0.04963103381551104,5.0,5.0,5.0,4
alpha_power,31.773441963267487,1.2603313584982775e-07,0.030966212080127953,4.0,11.0,7.5,5
beta_relative,21.283586251144243,2.3896151775408488e-05,0.02221668599111659,6.0,12.0,9.0,6
std,6.897688266951718,0.031782351311138254,0.043613145175536605,11.0,7.0,9.0,7
variance,5.13108942199915,0.07687729412690114,0.04678759686644929,13.0,6.0,9.5,8
spectral_entropy,9.059097442975599,0.010785542258121573,0.037240020944472096,10.0,9.0,9.5,9
rms,6.818867323437189,0.033059918172325425,0.0393410230633644,12.0,8.0,10.0,10
beta_power,0.36890797470505277,0.8315582012135113,0.05050232794028453,16.0,4.0,10.0,11
sample_entropy,14.644842007166972,0.0006605610531128979,0.020395652033971423,7.0,13.0,10.0,12
kurtosis,9.897881685674747,0.007090915346891513,0.01586032681014382,9.0,14.0,11.5,13
skewness,10.540034864882728,0.0051435209081222115,0.0061716132729365825,8.0,16.0,12.0,14
theta_power,1.7972339221832954,0.4071323504208352,0.03212367194619148,15.0,10.0,12.5,15
theta_beta_ratio,2.2561137261000113,0.3236615645255336,0.0,14.0,17.0,15.5,16
mean,0.23519680432809764,0.8890530227005751,0.0064819783829332955,17.0,15.0,16.0,17
